acc.x, acc.y, acc.z, gyro.x, gyro.y, gyro.z, magn.x, magn.y, magn.z, roll, pitch, yaw, roll_var, pitch_var, yaw_var, kf_dt, throttle, command_roll, command_pitch, command_yaw, pid_roll, pid_pitch, pid_yaw, motors_armed, m1_speed, m2_speed, m3_speed, m4_speed
-0.169890, 9.842876, -10.552470, -3.264769, 0.119539, -0.259621, 23.779596, -58.857059, 0.000000, -4.000000, 0.000000, 0.000635, 0.000703, 0.007962, 0.000000, -4647714815446351872, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 34680832.000000, 4, 1100, 1100, 0, 0
-0.259621, -0.169890, 9.842876, 0.071013, 0.010232, 0.037721, -10.552470, 23.779596, -58.857059, -1.000000, -4.000000, 0.000000, 0.000635, 0.000703, 0.007962, 79956, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
-0.244068, -0.183649, 9.875777, 0.065821, 0.010232, 0.036652, -10.727857, 24.013447, -58.696289, -1.000000, -4.000000, 0.000000, 0.000630, 0.000697, 0.007929, 79924, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
-0.252443, -0.191426, 9.891331, 0.066279, 0.006109, 0.034514, -10.727857, 23.823442, -58.126278, -1.000000, -4.000000, 0.000000, 0.000624, 0.000691, 0.007896, 79936, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
-0.258425, -0.165105, 9.860823, 0.064446, 0.009927, 0.035888, -10.377083, 23.633440, -59.163986, -1.000000, -4.000000, 0.000000, 0.000619, 0.000687, 0.007862, 79940, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
-0.259621, -0.178265, 9.845867, 0.071471, 0.013439, 0.035430, -10.537854, 23.165741, -58.857059, -1.000000, -4.000000, 0.000000, 0.000614, 0.000682, 0.007829, 79928, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
-0.270389, -0.183649, 9.881759, 0.060934, 0.011759, 0.038637, -10.260158, 24.115757, -58.550133, -1.000000, -4.000000, 0.000000, 0.000608, 0.000677, 0.007795, 79940, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
-0.269193, -0.183649, 9.861421, 0.066584, 0.007330, 0.036346, -10.537854, 24.101139, -58.082432, -1.000000, -4.000000, 0.000000, 0.000603, 0.000671, 0.007762, 79936, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
-0.243470, -0.185444, 9.871590, 0.067042, 0.006567, 0.036194, -11.122478, 23.297281, -58.067818, -1.000000, -4.000000, 0.000000, 0.000598, 0.000665, 0.007731, 79936, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
-0.248854, -0.172881, 9.882358, 0.064904, 0.011148, 0.035888, -10.625548, 23.808828, -58.506287, -1.000000, -4.000000, 0.000000, 0.000593, 0.000660, 0.007698, 79936, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
-0.239880, -0.185444, 9.846465, 0.064294, 0.008705, 0.032681, -10.947091, 23.633440, -58.433205, -1.000000, -4.000000, 0.000000, 0.000588, 0.000654, 0.007666, 79936, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
-0.260219, -0.197408, 9.882358, 0.066584, 0.010079, 0.038332, -10.494008, 23.487286, -58.491673, -1.000000, -4.000000, 0.000000, 0.000583, 0.000650, 0.007632, 79940, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
-0.260219, -0.184247, 9.862617, 0.067042, 0.005956, 0.034972, -10.567085, 23.414207, -58.301662, -1.000000, -4.000000, 0.000000, 0.000579, 0.000646, 0.007599, 79936, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
-0.252443, -0.171087, 9.850653, 0.070250, 0.008094, 0.035583, -10.713242, 23.779596, -58.754749, -1.000000, -4.000000, 0.000000, 0.000574, 0.000641, 0.007567, 79936, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
-0.250648, -0.186042, 9.862019, 0.065363, 0.011912, 0.035125, -10.771705, 23.852674, -58.067818, -1.000000, -4.000000, 0.000000, 0.000569, 0.000635, 0.007534, 79952, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
-0.233300, -0.178265, 9.869795, 0.068264, 0.011759, 0.035430, -10.245543, 23.063431, -59.573227, -1.000000, -4.000000, 0.000000, 0.000565, 0.000632, 0.007501, 79924, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
-0.261416, -0.183051, 9.848260, 0.067348, 0.009774, 0.035277, -10.464776, 23.063431, -58.491673, -1.000000, -4.000000, 0.000000, 0.000560, 0.000628, 0.007468, 79936, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
-0.250050, -0.169292, 9.888339, 0.068875, 0.010537, 0.036041, -10.581701, 24.130371, -59.047062, -1.000000, -4.000000, 0.000000, 0.000556, 0.000623, 0.007436, 79940, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
-0.239282, -0.174078, 9.896116, 0.066890, 0.009468, 0.033750, -10.596317, 23.852674, -58.813213, -1.000000, -4.000000, 0.000000, 0.000552, 0.000618, 0.007403, 79940, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
-0.234497, -0.190828, 9.848260, 0.069180, 0.010232, 0.034819, -10.888629, 23.750364, -58.301662, -1.000000, -4.000000, 0.000000, 0.000547, 0.000613, 0.007372, 79936, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
-0.254237, -0.171087, 9.865608, 0.075136, 0.008094, 0.033750, -10.596317, 23.911137, -58.564747, -1.000000, -3.000000, 0.000000, 0.000543, 0.000609, 0.007339, 79936, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
-0.239880, -0.190828, 9.872787, 0.071471, 0.011606, 0.037415, -10.567085, 23.940369, -58.667057, -1.000000, -3.000000, 0.000000, 0.000539, 0.000604, 0.007306, 79932, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
-0.266202, -0.193220, 9.834501, 0.067348, 0.010232, 0.037263, -10.684011, 23.165741, -58.579361, -1.000000, -3.000000, 0.000000, 0.000535, 0.000601, 0.007275, 79936, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
