acc.x, acc.y, acc.z, gyro.x, gyro.y, gyro.z, magn.x, magn.y, magn.z, roll, pitch, yaw, roll_var, pitch_var, yaw_var, kf_dt, throttle, command_roll, command_pitch, command_yaw, pid_roll, pid_pitch, pid_yaw, motors_armed, m1_speed, m2_speed, m3_speed, m4_speed
0.833899, 0.412762, 9.150752, -0.021991, -1.948966, 1.787392, 13.110201, 12.715744, 28.880444, 0.000000, -0.692003, -2.101504, 0.000000, 0.000000, 0.000000, 83858205489174, -60.423531, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0, 0, 1100, 1100
0.390030, -0.169890, 9.867402, 0.076664, 0.009010, 0.041233, 12.715580, 28.880444, -70.359543, -0.692003, -2.101504, -60.423531, 0.000000, 0.000000, 0.000000, 19524, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
0.390030, -0.169890, 9.867402, 0.076664, 0.009010, 0.041233, 12.715580, 28.880444, -70.359543, -0.692003, -2.101504, -60.423531, 0.000000, 0.000000, 0.000000, 19524, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
0.372084, -0.165105, 9.887143, 0.067195, 0.007789, 0.044288, 12.642503, 29.114294, -69.862617, -0.756685, -2.079690, -60.479317, 0.000000, 0.000000, 0.000000, 19980, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
0.400798, -0.153739, 9.894321, 0.072693, 0.009010, 0.043524, 13.168664, 28.836596, -69.935692, -0.877654, -2.130861, -60.545448, 0.000000, 0.000000, 0.000000, 20448, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
0.395414, -0.172881, 9.882358, 0.069944, 0.011454, 0.043982, 13.197896, 29.406607, -69.906464, -1.018297, -2.231843, -60.615540, 0.000000, 0.000000, 0.000000, 19972, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
0.376870, -0.166899, 9.881162, 0.071471, 0.006567, 0.042455, 12.905582, 28.515053, -69.541069, -1.116764, -2.299639, -60.666573, 0.000000, 0.000000, 0.000000, 19524, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
0.400798, -0.297308, 9.905089, 0.067042, 0.008858, 0.044899, 13.402514, 28.529671, -69.219521, -1.175935, -2.255815, -60.663563, 0.000000, 0.000000, 0.000000, 19980, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
0.377468, -0.166899, 9.891331, 0.068875, 0.012065, 0.042302, 13.314821, 29.172758, -69.453377, -1.180895, -2.140511, -60.625996, 0.000000, 0.000000, 0.000000, 20440, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
0.375673, -0.168694, 9.882358, 0.074220, 0.009316, 0.043219, 12.861736, 28.602749, -69.497223, -1.142120, -2.024197, -60.577988, 0.000000, 0.000000, 0.000000, 19980, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 1100, 1100, 1100, 1100
