acc.x, acc.y, acc.z, gyro.x, gyro.y, gyro.z, magn.x, magn.y, magn.z, roll, pitch, yaw, roll_var, pitch_var, yaw_var, kf_dt, throttle, command_roll, command_pitch, command_yaw, pid_roll, pid_pitch, pid_yaw, motors_armed, m1_speed, m2_speed, m3_speed, m4_speed
0.000000, -15677119905612728299679628819999752192.000000, 0.000000, 0.016341, 0.000000, 37778931862957161709568.000000, 773789.937500, 0.000000, 0.000000, 0.000000, 37778931862957161709568.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000, 52127010816.000000, 32, 15510, 40904, 15763, 8825
-0.754337, -0.346959, 9.724431, 0.016341, 0.059865, 0.002596, 26.074249, 2.645425, -44.314529, -1.311404, 0.067080, 177.258911, 0.028551, 0.003689, 0.001433, 79960, 0.000000, 0.000000, 0.000000, 0.000000, 1.311404, -0.067080, 0.000000, 0, 1086, 1080, 1080, 1087
-0.759123, -0.357129, 9.724431, 0.017257, 0.062156, 0.000000, 26.074249, 2.645425, -44.314529, 0.041040, 0.202640, 177.573761, 0.028552, 0.003688, 0.001433, 79932, 0.000000, 0.000000, 0.000000, 0.000000, -0.041040, -0.202640, -0.000000, 0, 1080, 1080, 1081, 1080
-0.738186, -0.334995, 9.699904, 0.016799, 0.071166, 0.001374, 26.074249, 2.645425, -44.314529, -1.294029, -0.034645, 177.257904, 0.028553, 0.003687, 0.001433, 79940, 0.000000, 0.000000, 0.000000, 0.000000, 1.294029, 0.034645, 0.000000, 0, 1086, 1080, 1080, 1086
-0.760319, -0.345763, 9.702298, 0.018021, 0.070708, -0.002138, 26.074249, 2.645425, -44.314529, 0.017993, 0.336068, 177.546555, 0.028553, 0.003687, 0.001433, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -0.017993, -0.336068, -0.000000, 0, 1080, 1080, 1081, 1081
-0.747159, -0.348754, 9.701101, 0.021228, 0.071166, -0.002291, 26.074249, 2.645425, -44.314529, -1.304527, 0.025581, 177.245773, 0.028554, 0.003686, 0.001433, 79944, 0.000000, 0.000000, 0.000000, 0.000000, 1.304527, -0.025581, 0.000000, 0, 1086, 1080, 1080, 1086
-0.744766, -0.354736, 9.698709, 0.019090, 0.064904, -0.002749, 26.074249, 2.645425, -44.314529, 0.053517, 0.090900, 177.560196, 0.028555, 0.003685, 0.001433, 79944, 0.000000, 0.000000, 0.000000, 0.000000, -0.053517, -0.090900, -0.000000, 0, 1080, 1080, 1080, 1080
-0.762712, -0.351745, 9.702298, 0.016035, 0.065057, 0.005192, 26.074249, 2.645425, -44.314529, -1.303815, 0.128440, 177.255905, 0.028556, 0.003684, 0.001433, 79916, 0.000000, 0.000000, 0.000000, 0.000000, 1.303815, -0.128440, 0.000000, 0, 1086, 1080, 1080, 1087
-0.747159, -0.357129, 9.660423, 0.014966, 0.070250, -0.001527, 26.074249, 2.645425, -44.314529, 0.050321, 0.026014, 177.574448, 0.028557, 0.003683, 0.001433, 79936, 0.000000, 0.000000, 0.000000, 0.000000, -0.050321, -0.026014, -0.000000, 0, 1080, 1080, 1080, 1080
-0.748954, -0.365504, 9.713664, 0.015730, 0.066432, 0.001833, 26.074249, 2.645425, -44.314529, -1.309534, 0.041649, 177.281158, 0.028558, 0.003682, 0.001433, 79940, 0.000000, 0.000000, 0.000000, 0.000000, 1.309534, -0.041649, 0.000000, 0, 1086, 1080, 1080, 1086
