acc.x, acc.y, acc.z, gyro.x, gyro.y, gyro.z, magn.x, magn.y, magn.z, roll, pitch, yaw, roll_var, pitch_var, yaw_var, kf_dt, throttle, command_roll, command_pitch, command_yaw, pid_roll, pid_pitch, pid_yaw, motors_armed, m1_speed, m2_speed, m3_speed, m4_speed
-0.727418, -0.376271, 9.852448, 0.016799, 0.067653, -0.003207, 6.620871, 3.493131, -46.229172, 2.111000, 0.829638, 152.134888, 0.077162, 0.017467, 0.001348, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -2.111000, -0.829638, -0.000000, 0, 1080, 1086, 1095, 1080
-0.719043, -0.376271, 9.828520, 0.015272, 0.061545, 0.001680, 7.424729, 3.770827, -46.404560, 0.901075, 0.185930, 152.006042, 0.077137, 0.017462, 0.001347, 79944, 0.000000, 0.000000, 0.000000, 0.000000, -0.901075, -0.185930, 0.000000, 0, 1080, 1083, 1085, 1080
-0.719043, -0.391227, 9.807582, 0.014050, 0.073151, -0.001527, 7.147033, 3.829290, -46.477638, 2.032213, 0.956586, 152.132111, 0.077111, 0.017458, 0.001347, 79944, 0.000000, 0.000000, 0.000000, 0.000000, -2.032213, -0.956586, -0.000000, 0, 1080, 1085, 1095, 1080
-0.733998, -0.388235, 9.820743, 0.017410, 0.073915, -0.003818, 7.161649, 3.770827, -45.673779, 0.846086, 0.271093, 151.999802, 0.077086, 0.017454, 0.001346, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -0.846086, -0.271093, 0.000000, 0, 1080, 1082, 1085, 1080
-0.723829, -0.387039, 9.822537, 0.017104, 0.062919, 0.003360, 7.278574, 3.376206, -46.433792, 2.105827, 0.825793, 152.157867, 0.077062, 0.017448, 0.001346, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -2.105827, -0.825793, -0.000000, 0, 1080, 1086, 1094, 1080
-0.707677, -0.380459, 9.855439, 0.016341, 0.065210, 0.001374, 7.293190, 3.785443, -46.009941, 0.927857, 0.125572, 152.030655, 0.077037, 0.017444, 0.001345, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -0.927857, -0.125572, 0.000000, 0, 1080, 1084, 1085, 1080
-0.724427, -0.366102, 9.850055, 0.014661, 0.072082, -0.002443, 7.307805, 3.668518, -45.863785, 2.096982, 0.849559, 152.166550, 0.077012, 0.017440, 0.001345, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -2.096982, -0.849559, -0.000000, 0, 1080, 1086, 1095, 1080
-0.730409, -0.377468, 9.854242, 0.014355, 0.072540, -0.004276, 7.000877, 3.449284, -46.024555, 0.871346, 0.236692, 152.042374, 0.076988, 0.017435, 0.001344, 79932, 0.000000, 0.000000, 0.000000, 0.000000, -0.871346, -0.236692, 0.000000, 0, 1080, 1083, 1085, 1080
-0.716650, -0.378066, 9.821341, 0.014661, 0.071013, -0.000916, 7.132418, 3.770827, -45.644550, 2.126937, 0.792148, 152.176849, 0.076964, 0.017429, 0.001344, 79944, 0.000000, 0.000000, 0.000000, 0.000000, -2.126937, -0.792148, -0.000000, 0, 1080, 1086, 1094, 1080
-0.722034, -0.386441, 9.834501, 0.013439, 0.067959, 0.001833, 7.073955, 3.858521, -45.235313, 0.892319, 0.197435, 152.037918, 0.076940, 0.017424, 0.001343, 79936, 0.000000, 0.000000, 0.000000, 0.000000, -0.892319, -0.197435, 0.000000, 0, 1080, 1083, 1085, 1080
-0.733998, -0.388235, 9.847661, 0.014355, 0.069639, 0.001222, 6.927799, 3.463899, -45.688396, 2.029802, 0.968324, 152.173553, 0.076914, 0.017420, 0.001343, 79944, 0.000000, 0.000000, 0.000000, 0.000000, -2.029802, -0.968324, -0.000000, 0, 1080, 1085, 1095, 1080
-0.729213, -0.393619, 9.812368, 0.010537, 0.073457, -0.003512, 7.190880, 3.624671, -44.738380, 0.845683, 0.278201, 152.047577, 0.076889, 0.017416, 0.001342, 79936, 0.000000, 0.000000, 0.000000, 0.000000, -0.845683, -0.278201, 0.000000, 0, 1080, 1082, 1085, 1080
-0.731606, -0.372682, 9.838091, 0.015424, 0.062919, 0.003360, 7.643963, 3.770827, -44.533764, 2.099147, 0.844160, 152.202042, 0.076866, 0.017410, 0.001342, 79944, 0.000000, 0.000000, 0.000000, 0.000000, -2.099147, -0.844160, -0.000000, 0, 1080, 1086, 1095, 1080
-0.704686, -0.393021, 9.842876, 0.016493, 0.065363, -0.002443, 7.395498, 4.063139, -45.323006, 0.922259, 0.142532, 152.065231, 0.076841, 0.017406, 0.001341, 79936, 0.000000, 0.000000, 0.000000, 0.000000, -0.922259, -0.142532, 0.000000, 0, 1080, 1083, 1085, 1080
-0.732204, -0.371486, 9.839287, 0.017104, 0.062156, 0.004581, 7.629348, 3.916983, -45.527622, 2.042859, 0.935908, 152.199188, 0.076815, 0.017403, 0.001341, 79948, 0.000000, 0.000000, 0.000000, 0.000000, -2.042859, -0.935908, -0.000000, 0, 1080, 1085, 1095, 1080
-0.730409, -0.378066, 9.824332, 0.015424, 0.061087, 0.001985, 7.453961, 3.697749, -45.264542, 0.863925, 0.238001, 152.073547, 0.076790, 0.017399, 0.001340, 79936, 0.000000, 0.000000, 0.000000, 0.000000, -0.863925, -0.238001, 0.000000, 0, 1080, 1083, 1085, 1080
-0.742971, -0.379262, 9.842278, 0.018021, 0.066126, -0.000305, 6.810874, 3.887752, -45.907627, 1.974834, 1.036125, 152.172073, 0.076764, 0.017396, 0.001340, 79948, 0.000000, 0.000000, 0.000000, 0.000000, -1.974834, -1.036125, -0.000000, 0, 1080, 1084, 1095, 1080
-0.710070, -0.370289, 9.818949, 0.016646, 0.065821, -0.002443, 7.717041, 4.136218, -45.206078, 0.945692, 0.132988, 152.043396, 0.076736, 0.017394, 0.001339, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -0.945692, -0.132988, 0.000000, 0, 1080, 1084, 1085, 1080
-0.706481, -0.367896, 9.854242, 0.019395, 0.074678, -0.003207, 7.220111, 3.317743, -45.586086, 2.196140, 0.709738, 152.199081, 0.076713, 0.017389, 0.001339, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -2.196140, -0.709738, -0.000000, 0, 1080, 1087, 1094, 1080
-0.738186, -0.384646, 9.808779, 0.017562, 0.067348, 0.001833, 7.234727, 3.756212, -46.185326, 0.882829, 0.318214, 152.059464, 0.076690, 0.017382, 0.001338, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -0.882829, -0.318214, 0.000000, 0, 1080, 1082, 1086, 1080
-0.725025, -0.399003, 9.846465, 0.018631, 0.066432, -0.000305, 7.658579, 3.420053, -46.185326, 2.147105, 0.859752, 152.237289, 0.076667, 0.017376, 0.001338, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -2.147105, -0.859752, -0.000000, 0, 1080, 1086, 1095, 1080
-0.726820, -0.393619, 9.848859, 0.017104, 0.069333, 0.000916, 7.439345, 3.741596, -45.790707, 0.906616, 0.276720, 152.106766, 0.076644, 0.017371, 0.001338, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -0.906616, -0.276720, 0.000000, 0, 1080, 1083, 1086, 1080
-0.718445, -0.377468, 9.874581, 0.015119, 0.070250, 0.037568, 6.957030, 3.390821, -46.273022, 2.196419, 0.755828, 152.257263, 0.076621, 0.017364, 0.001337, 79936, 0.000000, 0.000000, 0.000000, 0.000000, -2.196419, -0.755828, -0.000000, 0, 1080, 1087, 1095, 1080
-0.718445, -0.376271, 9.842876, 0.016493, 0.068570, -0.002291, 6.898568, 3.756212, -45.659164, 0.958434, 0.167853, 152.119659, 0.076598, 0.017359, 0.001337, 79936, 0.000000, 0.000000, 0.000000, 0.000000, -0.958434, -0.167853, 0.000000, 0, 1080, 1084, 1085, 1080
-0.710668, -0.396610, 9.845268, 0.016035, 0.072235, -0.001833, 7.497808, 3.741596, -45.907627, 2.111877, 0.906650, 152.275177, 0.076573, 0.017355, 0.001336, 79944, 0.000000, 0.000000, 0.000000, 0.000000, -2.111877, -0.906650, -0.000000, 0, 1080, 1086, 1095, 1080
-0.719641, -0.389432, 9.844072, 0.018326, 0.062614, -0.002749, 7.307805, 3.595440, -46.389942, 0.917289, 0.234090, 152.153122, 0.076548, 0.017351, 0.001336, 79936, 0.000000, 0.000000, 0.000000, 0.000000, -0.917289, -0.234090, 0.000000, 0, 1080, 1083, 1085, 1080
-0.728016, -0.391227, 9.836893, 0.016952, 0.067959, -0.001069, 7.570886, 3.346974, -46.433792, 2.123838, 0.895301, 152.320740, 0.076524, 0.017346, 0.001335, 79948, 0.000000, 0.000000, 0.000000, 0.000000, -2.123838, -0.895301, -0.000000, 0, 1080, 1086, 1095, 1080
-0.719043, -0.394218, 9.847064, 0.015577, 0.063988, 0.000916, 7.527039, 4.048524, -45.381470, 0.926661, 0.228456, 152.182068, 0.076500, 0.017342, 0.001335, 79932, 0.000000, 0.000000, 0.000000, 0.000000, -0.926661, -0.228456, 0.000000, 0, 1080, 1083, 1085, 1080
-0.714856, -0.398405, 9.844671, 0.014661, 0.067959, -0.000305, 7.176264, 3.726980, -45.746857, 2.113461, 0.906817, 152.325882, 0.076475, 0.017337, 0.001334, 79944, 0.000000, 0.000000, 0.000000, 0.000000, -2.113461, -0.906817, -0.000000, 0, 1080, 1086, 1095, 1080
-0.736391, -0.382253, 9.849456, 0.016035, 0.067042, -0.002138, 7.117802, 3.346974, -46.258404, 0.881893, 0.304649, 152.206100, 0.076452, 0.017332, 0.001334, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -0.881893, -0.304649, 0.000000, 0, 1080, 1082, 1086, 1080
-0.720240, -0.381057, 9.867402, 0.020922, 0.066126, -0.000611, 7.673195, 3.946214, -46.287636, 2.177844, 0.757573, 152.354630, 0.076429, 0.017326, 0.001333, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -2.177844, -0.757573, -0.000000, 0, 1080, 1087, 1095, 1080
-0.715454, -0.369093, 9.834501, 0.014508, 0.065973, 0.001680, 7.366267, 3.449284, -46.316864, 0.930466, 0.189305, 152.235596, 0.076406, 0.017320, 0.001333, 79944, 0.000000, 0.000000, 0.000000, 0.000000, -0.930466, -0.189305, 0.000000, 0, 1080, 1083, 1085, 1080
-0.729811, -0.384646, 9.834501, 0.013897, 0.073762, -0.001833, 6.957030, 3.975446, -45.249928, 1.957782, 1.077848, 152.323792, 0.076379, 0.017319, 0.001332, 79944, 0.000000, 0.000000, 0.000000, 0.000000, -1.957782, -1.077848, -0.000000, 0, 1080, 1084, 1095, 1080
-0.719641, -0.367298, 9.853046, 0.015424, 0.065973, 0.003512, 7.307805, 3.610055, -45.586086, 0.964765, 0.134391, 152.215347, 0.076351, 0.017318, 0.001332, 79936, 0.000000, 0.000000, 0.000000, 0.000000, -0.964765, -0.134391, 0.000000, 0, 1080, 1084, 1085, 1080
